Province,District,Sector,Cell,Village,Longitude,Latitude,Area_Ha,BBox_MinLon,BBox_MinLat,BBox_MaxLon,BBox_MaxLat
Amajyaruguru,Musanze,Busogo,Gisesero,Gahanga,29.554098549674883,-1.5554654340945127,152.24557095399263,29.54222556566691,-1.5619992108286245,29.563292230135968,-1.5479725699388809
Amajyaruguru,Musanze,Busogo,Gisesero,Jabiro,29.554144177347354,-1.5487358347345308,66.53792779964134,29.548994745751926,-1.5540425872258976,29.55878135329433,-1.5442913873762802
Amajyaruguru,Musanze,Busogo,Gisesero,Kabaya,29.554001227189335,-1.5685223935858108,118.49293615110237,29.548456869577194,-1.5765746925445328,29.55922957411364,-1.5610619876552174
Amajyaruguru,Musanze,Busogo,Gisesero,Nengo,29.563707150040685,-1.5425355218007346,108.45231692374873,29.55750533618911,-1.549367080648012,29.570488660048582,-1.5357698322420792
Amajyaruguru,Musanze,Busogo,Kavumu,Gatovu,29.576194489565314,-1.5693286702638984,121.02106364473063,29.568871222832676,-1.5750337973363653,29.583788594781144,-1.5639313586329626
Amajyaruguru,Musanze,Busogo,Kavumu,Karema,29.569210900146647,-1.5759616361017892,122.28775934918463,29.56107970187253,-1.5861348053067104,29.575678544839334,-1.5674816499377102
Amajyaruguru,Musanze,Busogo,Kavumu,Karuriza,29.560308042455688,-1.5646748029919375,48.3785405630491,29.554835044995137,-1.5698127849732548,29.56788703112479,-1.5609330032896218
Amajyaruguru,Musanze,Busogo,Kavumu,Mutaboneka,29.565131070573237,-1.5674926941926262,64.63014173979292,29.559115133220146,-1.5716170180380202,29.57045813567519,-1.5631680613172376
Amajyaruguru,Musanze,Busogo,Kavumu,Rugeshi,29.578393160277102,-1.579480847460591,143.45125564082002,29.572071751176072,-1.5886856476837605,29.584181507742308,-1.571938888502726
Amajyaruguru,Musanze,Busogo,Nyagisozi,Cyasure,29.578140558106305,-1.547910368738055,129.30880168092233,29.57185050546761,-1.5558846158016029,29.584805217441787,-1.5411780022187869
Amajyaruguru,Musanze,Busogo,Nyagisozi,Gora,29.574153962929937,-1.558651111672973,142.9962042835824,29.56851645618932,-1.5654987232116477,29.579638206091634,-1.5510729684728586
Amajyaruguru,Musanze,Busogo,Nyagisozi,Kabwenge,29.565142273832834,-1.556142045356174,159.81896455385842,29.55606909973863,-1.5632566339751686,29.573490824330094,-1.5456881629099195
Amajyaruguru,Musanze,Busogo,Nyagisozi,Kirezi,29.568294943967462,-1.5463893698517408,89.17846241712462,29.559361187152607,-1.5520246143296756,29.57492705962182,-1.539870514370763
Amajyaruguru,Musanze,Busogo,Nyagisozi,Rurembo,29.57423508526003,-1.534769318538927,129.0361579456935,29.565922468383214,-1.5435246378189078,29.580761643786346,-1.5235273995237493
Amajyaruguru,Musanze,Busogo,Sahara,Nyarubuye,29.546724475556886,-1.5617321231794745,102.36348692214814,29.54046507994811,-1.568176277191476,29.55218192304593,-1.5544254853711508
Amajyaruguru,Musanze,Busogo,Sahara,Nyiragaju,29.540464704605462,-1.5685751461167023,109.8267794739574,29.533531865760217,-1.574596767920487,29.548094473262914,-1.5631628094194472
Amajyaruguru,Musanze,Busogo,Sahara,Rubaya,29.53075591622058,-1.56741474712153,104.76988740015369,29.52216979047249,-1.5725024970430028,29.537649833056676,-1.5606882611358626
Amajyaruguru,Musanze,Busogo,Sahara,Ryamukutsi,29.53939639654666,-1.5583579266475809,103.00803220564609,29.53177901488483,-1.5645810417196877,29.546755517807426,-1.5508990350873681
Amajyaruguru,Musanze,Cyuve,Bukinanyana,Bubandu,29.655957973018293,-1.4943314778398518,95.35131868184251,29.649660805156454,-1.4992812006613507,29.664204338573036,-1.489068184568685
